old_name,new_name,old_quantity,new_quantity,old timestamp,new timestamp
Item,New Value,Timestamp
48x45x25,3,2023-04-11 22:18:03,,,
48x45x34,88,2023-04-11 22:23:37
48x45x42,4,2023-04-11 22:17:40
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,222,2023-04-16 17:59:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,88,2023-04-11 22:23:37
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,222,2023-04-16 17:59:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,88,2023-04-11 22:23:37
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,222,2023-04-16 17:59:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,222,2023-04-16 17:59:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,222,2023-04-16 17:59:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,222,2023-04-16 17:59:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
30x32x34,14,2023-04-16 18:05:35
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,14,2023-04-16 18:05:35
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,222,2023-04-16 17:59:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,222,2023-04-16 17:59:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,55,2023-04-16 18:06:05
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,222,2023-04-16 17:59:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,3,2023-04-16 18:00:31
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
sss,222,2023-04-16 17:59:42
asd,4,2023-04-16 17:37:35
g,1,2023-04-16 17:46:41
48x45x25,3,2023-04-11 22:18:03
48x45x34,3,2023-04-16 18:02:26
48x45x42,5,2023-04-16 18:10:24
30x32x34,10,2023-04-11 22:54:08
w,33,2023-04-16 14:02:17
fes,22,2023-04-16 17:29:39
